"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","209643.61","0.029","0.008","0.031","0.047","0.063","0.183"
"PING_MBULK","214592.28","0.029","0.008","0.031","0.047","0.055","0.255"
"SET","204081.62","0.030","0.008","0.031","0.047","0.063","1.711"
"GET","216919.73","0.028","0.008","0.031","0.047","0.055","0.303"
"INCR","194931.77","0.032","0.008","0.031","0.055","0.071","0.215"
"LPUSH","214592.28","0.036","0.008","0.039","0.063","0.079","0.535"
"RPUSH","208333.34","0.030","0.008","0.031","0.047","0.063","1.375"
"LPOP","218818.39","0.036","0.008","0.039","0.055","0.071","0.215"
"RPOP","210970.47","0.029","0.008","0.031","0.047","0.063","0.239"
"SADD","219298.25","0.028","0.008","0.031","0.039","0.055","0.327"
"HSET","209205.03","0.029","0.008","0.031","0.047","0.063","0.471"
"SPOP","213219.61","0.029","0.008","0.031","0.047","0.055","0.447"
"ZADD","216450.20","0.029","0.008","0.031","0.047","0.055","0.271"
"ZPOPMIN","215517.25","0.028","0.008","0.031","0.047","0.055","0.207"
"LPUSH (needed to benchmark LRANGE)","218340.61","0.036","0.008","0.039","0.055","0.071","0.239"
"LRANGE_100 (first 100 elements)","31585.60","0.137","0.032","0.135","0.207","0.239","0.975"
"LRANGE_300 (first 300 elements)","16241.68","0.167","0.064","0.167","0.207","0.239","1.695"
"LRANGE_500 (first 500 elements)","11257.46","0.162","0.080","0.159","0.207","0.239","1.431"
"LRANGE_600 (first 600 elements)","9535.62","0.178","0.080","0.175","0.239","0.335","6.391"
"MSET (10 keys)","158730.16","0.038","0.016","0.039","0.063","0.071","0.199"
"XADD","216919.73","0.028","0.008","0.031","0.047","0.079","0.399"
