"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","165837.48","0.038","0.008","0.039","0.071","0.095","0.487"
"PING_MBULK","152905.20","0.042","0.008","0.039","0.079","0.135","2.327"
"SET","152207.00","0.043","0.008","0.039","0.079","0.119","1.375"
"GET","139664.80","0.047","0.008","0.039","0.095","0.199","2.543"
"INCR","139664.80","0.048","0.008","0.039","0.087","0.167","7.703"
"LPUSH","145560.41","0.053","0.008","0.047","0.103","0.159","1.303"
"RPUSH","165562.92","0.041","0.008","0.031","0.087","0.143","3.423"
"LPOP","193423.59","0.038","0.008","0.039","0.063","0.095","0.975"
"RPOP","187617.27","0.034","0.008","0.031","0.063","0.087","0.735"
"SADD","198807.16","0.031","0.000","0.031","0.055","0.071","0.215"
"HSET","186219.73","0.034","0.008","0.031","0.063","0.079","0.207"
"SPOP","192678.23","0.032","0.008","0.031","0.063","0.087","0.359"
"ZADD","179211.45","0.035","0.008","0.031","0.063","0.095","1.103"
"ZPOPMIN","194931.77","0.032","0.008","0.031","0.055","0.079","0.255"
"LPUSH (needed to benchmark LRANGE)","225225.22","0.032","0.008","0.031","0.047","0.063","0.159"
"LRANGE_100 (first 100 elements)","27442.37","0.098","0.032","0.095","0.159","0.223","2.231"
"LRANGE_300 (first 300 elements)","11107.41","0.124","0.040","0.119","0.199","0.271","2.807"
"LRANGE_500 (first 500 elements)","6331.92","0.139","0.056","0.135","0.215","0.279","4.287"
"LRANGE_600 (first 600 elements)","6900.36","0.126","0.056","0.119","0.183","0.247","3.271"
"MSET (10 keys)","141442.72","0.043","0.008","0.039","0.071","0.087","5.743"
"XADD","178571.42","0.040","0.008","0.039","0.071","0.111","1.159"
