"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","4000000.00","0.210","0.088","0.215","0.255","0.287","0.335"
"PING_MBULK","5000000.00","0.151","0.056","0.151","0.207","0.247","0.271"
"SET","2777778.00","0.186","0.112","0.191","0.231","0.263","0.351"
"GET","3225806.50","0.212","0.072","0.207","0.319","0.375","0.567"
"INCR","3703703.50","0.227","0.104","0.231","0.271","0.295","0.359"
"LPUSH","595238.12","1.075","0.240","1.031","1.439","1.511","1.663"
"RPUSH","2173913.00","0.262","0.160","0.263","0.335","0.383","0.447"
"LPOP","602409.69","1.536","0.256","1.527","1.679","1.895","3.111"
"RPOP","2173913.00","0.369","0.104","0.375","0.455","0.511","0.647"
"SADD","3571428.50","0.248","0.112","0.247","0.287","0.303","0.359"
"HSET","2564102.50","0.217","0.072","0.207","0.279","0.295","0.471"
"SPOP","4347826.00","0.193","0.088","0.199","0.239","0.263","0.351"
"ZADD","2631579.00","0.350","0.096","0.351","0.391","0.407","0.455"
"ZPOPMIN","4166666.75","0.199","0.080","0.199","0.239","0.319","0.407"
"LPUSH (needed to benchmark LRANGE)","613496.94","1.032","0.224","1.111","1.271","1.351","1.399"
"LRANGE_100 (first 100 elements)","58892.82","1.539","0.464","0.767","3.887","4.375","7.727"
"LRANGE_300 (first 300 elements)","16586.50","9.826","1.232","10.975","11.495","12.783","23.215"
"LRANGE_500 (first 500 elements)","9053.05","22.822","1.952","26.943","29.327","30.351","31.103"
"LRANGE_600 (first 600 elements)","7099.25","29.013","2.320","32.799","36.703","40.383","49.119"
"MSET (10 keys)","429184.56","0.276","0.160","0.239","0.439","1.103","1.519"
"XADD","1234567.88","0.478","0.184","0.423","0.847","1.415","2.127"
