"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21929.82","0.044","0.008","0.047","0.055","0.055","1.127"
"PING_MBULK","21720.24","0.044","0.008","0.047","0.055","0.063","3.615"
"SET","21777.00","0.044","0.008","0.047","0.055","0.063","3.735"
"GET","21829.29","0.044","0.008","0.047","0.055","0.055","0.311"
"INCR","21739.13","0.044","0.016","0.047","0.055","0.055","0.167"
"LPUSH","20695.37","0.046","0.016","0.047","0.055","0.063","0.567"
"RPUSH","21454.62","0.044","0.016","0.047","0.055","0.063","0.511"
"LPOP","20517.03","0.046","0.016","0.047","0.055","0.063","0.239"
"RPOP","21376.66","0.044","0.008","0.047","0.055","0.063","1.031"
"SADD","21376.66","0.045","0.008","0.047","0.055","0.063","0.695"
"HSET","21556.37","0.044","0.016","0.047","0.055","0.063","0.231"
"SPOP","21862.70","0.044","0.008","0.047","0.055","0.063","3.335"
"ZADD","22893.77","0.041","0.008","0.047","0.055","0.063","0.463"
"ZPOPMIN","21659.09","0.044","0.008","0.047","0.055","0.055","0.239"
"LPUSH (needed to benchmark LRANGE)","20665.43","0.046","0.016","0.047","0.055","0.063","0.487"
"LRANGE_100 (first 100 elements)","11289.23","0.050","0.024","0.055","0.055","0.063","1.799"
"LRANGE_300 (first 300 elements)","7107.32","0.060","0.032","0.063","0.071","0.079","6.207"
"LRANGE_500 (first 500 elements)","5383.00","0.068","0.040","0.071","0.079","0.087","0.463"
"LRANGE_600 (first 600 elements)","4710.76","0.071","0.040","0.071","0.087","0.095","4.903"
"MSET (10 keys)","20807.32","0.045","0.008","0.047","0.055","0.063","1.647"
"XADD","21190.93","0.045","0.016","0.047","0.055","0.063","0.231"
