"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","211864.41","0.029","0.008","0.031","0.047","0.055","0.279"
"PING_MBULK","202429.16","0.031","0.008","0.031","0.047","0.071","0.439"
"SET","209643.61","0.029","0.008","0.031","0.047","0.063","0.239"
"GET","201207.23","0.031","0.008","0.031","0.047","0.071","0.599"
"INCR","196850.39","0.031","0.008","0.031","0.055","0.095","0.743"
"LPUSH","182481.77","0.041","0.008","0.039","0.079","0.127","2.039"
"RPUSH","191204.59","0.033","0.008","0.031","0.055","0.079","0.207"
"LPOP","203665.98","0.037","0.008","0.039","0.063","0.079","0.255"
"RPOP","189393.94","0.033","0.008","0.031","0.063","0.103","0.223"
"SADD","206185.56","0.030","0.008","0.031","0.047","0.063","0.367"
"HSET","200803.22","0.031","0.008","0.031","0.055","0.071","0.343"
"SPOP","210084.03","0.029","0.008","0.031","0.047","0.063","0.695"
"ZADD","215517.25","0.029","0.008","0.031","0.047","0.063","0.287"
"ZPOPMIN","207468.88","0.030","0.008","0.031","0.047","0.063","0.215"
"LPUSH (needed to benchmark LRANGE)","208333.34","0.035","0.008","0.031","0.063","0.079","0.279"
"LRANGE_100 (first 100 elements)","43554.01","0.117","0.024","0.119","0.167","0.199","0.527"
"LRANGE_300 (first 300 elements)","26581.61","0.168","0.040","0.167","0.247","0.295","1.775"
"LRANGE_500 (first 500 elements)","20354.16","0.193","0.048","0.191","0.303","0.375","2.215"
"LRANGE_600 (first 600 elements)","18470.63","0.215","0.056","0.207","0.319","0.415","7.583"
"MSET (10 keys)","218818.39","0.031","0.008","0.031","0.047","0.063","0.175"
"XADD","215053.77","0.029","0.008","0.031","0.047","0.055","0.415"
