"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","218818.39","0.029","0.008","0.031","0.055","0.063","0.191"
"PING_MBULK","240963.86","0.026","0.008","0.023","0.039","0.055","0.479"
"SET","246913.58","0.025","0.008","0.023","0.039","0.055","0.191"
"GET","229885.06","0.027","0.008","0.031","0.047","0.063","0.263"
"INCR","215517.25","0.030","0.000","0.031","0.047","0.079","6.967"
"LPUSH","224215.23","0.034","0.008","0.031","0.063","0.071","0.207"
"RPUSH","159235.66","0.042","0.008","0.039","0.087","0.191","3.591"
"LPOP","193798.45","0.039","0.008","0.039","0.071","0.111","0.535"
"RPOP","225733.64","0.028","0.008","0.031","0.047","0.071","0.263"
"SADD","238095.25","0.026","0.008","0.023","0.047","0.063","0.367"
"HSET","228310.50","0.028","0.008","0.031","0.047","0.071","0.607"
"SPOP","226244.34","0.028","0.008","0.031","0.047","0.071","0.439"
"ZADD","245098.05","0.026","0.008","0.023","0.039","0.055","0.135"
"ZPOPMIN","221729.48","0.028","0.000","0.031","0.055","0.071","0.159"
"LPUSH (needed to benchmark LRANGE)","234192.05","0.032","0.008","0.031","0.055","0.071","0.351"
"LRANGE_100 (first 100 elements)","32743.94","0.132","0.016","0.135","0.207","0.247","2.047"
"LRANGE_300 (first 300 elements)","16730.80","0.160","0.056","0.159","0.207","0.255","3.447"
"LRANGE_500 (first 500 elements)","11466.58","0.156","0.080","0.151","0.207","0.247","2.359"
"LRANGE_600 (first 600 elements)","10181.23","0.162","0.080","0.159","0.207","0.263","2.719"
"MSET (10 keys)","259740.27","0.026","0.008","0.031","0.039","0.055","0.279"
"XADD","250000.00","0.025","0.008","0.023","0.039","0.055","1.143"
