"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","214132.77","0.030","0.008","0.031","0.055","0.079","0.263"
"PING_MBULK","215982.72","0.029","0.008","0.031","0.055","0.071","2.215"
"SET","179856.11","0.036","0.008","0.031","0.071","0.127","4.615"
"GET","220264.31","0.028","0.008","0.031","0.047","0.071","1.391"
"INCR","237529.69","0.026","0.008","0.023","0.039","0.055","0.423"
"LPUSH","230946.89","0.033","0.008","0.031","0.055","0.079","2.095"
"RPUSH","239808.16","0.027","0.008","0.023","0.047","0.071","1.351"
"LPOP","228310.50","0.034","0.008","0.031","0.055","0.071","0.503"
"RPOP","238095.25","0.026","0.008","0.031","0.039","0.055","0.879"
"SADD","246913.58","0.025","0.008","0.023","0.039","0.047","0.183"
"HSET","242130.77","0.026","0.008","0.031","0.039","0.055","0.175"
"SPOP","232018.56","0.027","0.008","0.031","0.047","0.063","0.263"
"ZADD","230946.89","0.027","0.008","0.031","0.047","0.071","0.191"
"ZPOPMIN","247524.75","0.025","0.008","0.023","0.039","0.055","0.271"
"LPUSH (needed to benchmark LRANGE)","240384.61","0.030","0.008","0.031","0.055","0.079","0.327"
"LRANGE_100 (first 100 elements)","26595.74","0.091","0.032","0.087","0.143","0.207","3.127"
"LRANGE_300 (first 300 elements)","11728.83","0.105","0.040","0.103","0.159","0.199","1.023"
"LRANGE_500 (first 500 elements)","6665.33","0.134","0.048","0.127","0.215","0.319","5.631"
"LRANGE_600 (first 600 elements)","6194.25","0.138","0.056","0.127","0.223","0.327","5.175"
"MSET (10 keys)","217391.30","0.031","0.008","0.031","0.047","0.071","0.295"
"XADD","248138.95","0.027","0.008","0.031","0.047","0.063","1.495"
