"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","3846153.75","0.217","0.072","0.215","0.271","0.319","0.359"
"PING_MBULK","5263158.00","0.153","0.056","0.151","0.199","0.247","0.295"
"SET","2857142.75","0.184","0.120","0.183","0.223","0.255","0.375"
"GET","3448276.00","0.197","0.064","0.191","0.311","0.407","0.591"
"INCR","3846153.75","0.221","0.080","0.223","0.255","0.271","0.327"
"LPUSH","588235.31","1.091","0.264","1.031","1.447","1.711","3.519"
"RPUSH","2127659.75","0.268","0.120","0.271","0.335","0.383","0.575"
"LPOP","613496.94","1.516","0.200","1.519","1.687","1.759","1.871"
"RPOP","2380952.50","0.338","0.144","0.335","0.407","0.599","0.815"
"SADD","3703703.50","0.242","0.080","0.247","0.279","0.303","0.343"
"HSET","2564102.50","0.221","0.088","0.239","0.287","0.319","0.503"
"SPOP","4545454.50","0.190","0.064","0.191","0.231","0.279","0.359"
"ZADD","2631579.00","0.345","0.080","0.351","0.391","0.431","0.471"
"ZPOPMIN","4166666.75","0.205","0.064","0.207","0.247","0.287","0.343"
"LPUSH (needed to benchmark LRANGE)","621118.00","1.032","0.208","0.943","1.359","1.399","1.447"
"LRANGE_100 (first 100 elements)","57703.40","2.405","0.392","2.943","3.567","3.887","7.639"
"LRANGE_300 (first 300 elements)","15062.51","11.411","1.184","12.127","14.959","20.879","21.359"
"LRANGE_500 (first 500 elements)","8312.55","25.978","1.840","28.623","34.975","44.223","48.543"
"LRANGE_600 (first 600 elements)","7261.11","28.217","2.192","30.943","33.919","36.831","41.471"
"MSET (10 keys)","534759.31","0.209","0.144","0.207","0.255","0.287","0.671"
"XADD","1515151.50","0.395","0.168","0.455","0.519","0.551","0.671"
