"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","23579.34","0.039","0.008","0.039","0.047","0.055","0.263"
"PING_MBULK","23809.53","0.038","0.000","0.039","0.047","0.055","0.535"
"SET","23441.16","0.040","0.008","0.039","0.047","0.055","1.743"
"GET","23803.86","0.039","0.008","0.039","0.047","0.055","0.239"
"INCR","23736.06","0.038","0.008","0.039","0.047","0.055","0.655"
"LPUSH","22446.69","0.043","0.016","0.047","0.047","0.055","0.199"
"RPUSH","22779.04","0.042","0.008","0.047","0.047","0.055","1.055"
"LPOP","22747.95","0.042","0.008","0.047","0.047","0.055","0.479"
"RPOP","23132.08","0.040","0.016","0.047","0.047","0.055","0.287"
"SADD","23707.92","0.039","0.008","0.039","0.047","0.055","0.207"
"HSET","23353.57","0.039","0.008","0.039","0.047","0.063","1.047"
"SPOP","23685.46","0.039","0.008","0.039","0.047","0.055","0.639"
"ZADD","23612.75","0.039","0.008","0.039","0.047","0.055","0.991"
"ZPOPMIN","23668.64","0.039","0.008","0.039","0.047","0.055","0.215"
"LPUSH (needed to benchmark LRANGE)","22527.60","0.042","0.016","0.047","0.047","0.055","0.295"
"LRANGE_100 (first 100 elements)","12108.00","0.046","0.016","0.047","0.055","0.063","1.463"
"LRANGE_300 (first 300 elements)","7445.46","0.055","0.024","0.055","0.063","0.071","1.039"
"LRANGE_500 (first 500 elements)","5469.86","0.062","0.032","0.063","0.071","0.079","2.327"
"LRANGE_600 (first 600 elements)","4830.45","0.065","0.040","0.071","0.079","0.087","1.095"
"MSET (10 keys)","22512.38","0.043","0.008","0.047","0.047","0.055","0.239"
"XADD","23239.60","0.040","0.008","0.039","0.047","0.055","1.647"
