"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","240384.61","0.026","0.008","0.031","0.039","0.055","0.191"
"PING_MBULK","242718.45","0.025","0.008","0.023","0.039","0.055","0.183"
"SET","243309.00","0.026","0.008","0.023","0.039","0.055","0.223"
"GET","246305.42","0.025","0.008","0.023","0.039","0.047","0.159"
"INCR","238663.48","0.026","0.008","0.031","0.039","0.055","0.167"
"LPUSH","235294.11","0.031","0.008","0.031","0.063","0.071","0.191"
"RPUSH","242718.45","0.026","0.008","0.031","0.039","0.055","0.223"
"LPOP","229885.06","0.033","0.008","0.031","0.063","0.079","0.199"
"RPOP","246305.42","0.025","0.008","0.023","0.039","0.055","0.199"
"SADD","238663.48","0.026","0.008","0.023","0.047","0.063","0.527"
"HSET","242130.77","0.026","0.008","0.023","0.047","0.055","0.263"
"SPOP","242718.45","0.026","0.008","0.023","0.039","0.055","0.183"
"ZADD","250000.00","0.025","0.008","0.023","0.039","0.055","0.167"
"ZPOPMIN","250000.00","0.025","0.008","0.023","0.039","0.047","0.191"
"LPUSH (needed to benchmark LRANGE)","239234.44","0.031","0.008","0.031","0.055","0.071","0.207"
"LRANGE_100 (first 100 elements)","43047.79","0.118","0.016","0.119","0.183","0.247","7.607"
"LRANGE_300 (first 300 elements)","26301.95","0.177","0.032","0.167","0.287","0.319","8.407"
"LRANGE_500 (first 500 elements)","20968.76","0.187","0.048","0.183","0.295","0.351","1.703"
"LRANGE_600 (first 600 elements)","18348.62","0.214","0.056","0.207","0.327","0.431","4.807"
"MSET (10 keys)","234741.78","0.029","0.008","0.031","0.047","0.079","0.207"
"XADD","187617.27","0.035","0.008","0.031","0.071","0.103","1.567"
