"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21687.27","0.044","0.016","0.047","0.055","0.063","1.543"
"PING_MBULK","21777.00","0.044","0.016","0.047","0.055","0.055","2.751"
"SET","21463.83","0.045","0.008","0.047","0.055","0.063","1.151"
"GET","22026.43","0.044","0.008","0.047","0.055","0.055","0.279"
"INCR","21510.00","0.045","0.016","0.047","0.055","0.063","2.175"
"LPUSH","20807.32","0.045","0.016","0.047","0.055","0.063","0.263"
"RPUSH","21008.40","0.045","0.008","0.047","0.055","0.071","1.855"
"LPOP","20622.81","0.046","0.016","0.047","0.055","0.071","0.775"
"RPOP","21105.95","0.045","0.016","0.047","0.055","0.063","5.655"
"SADD","21762.79","0.044","0.016","0.047","0.055","0.055","0.271"
"HSET","21739.13","0.044","0.016","0.047","0.055","0.063","1.807"
"SPOP","21720.24","0.044","0.008","0.047","0.055","0.055","0.279"
"ZADD","20968.76","0.045","0.008","0.047","0.055","0.071","11.927"
"ZPOPMIN","22326.41","0.042","0.008","0.047","0.063","0.079","1.727"
"LPUSH (needed to benchmark LRANGE)","22568.27","0.041","0.008","0.047","0.063","0.087","3.519"
"LRANGE_100 (first 100 elements)","11323.75","0.052","0.016","0.055","0.063","0.095","4.535"
"LRANGE_300 (first 300 elements)","6957.01","0.060","0.032","0.063","0.071","0.095","6.255"
"LRANGE_500 (first 500 elements)","5071.25","0.071","0.040","0.071","0.087","0.135","3.735"
"LRANGE_600 (first 600 elements)","4391.36","0.073","0.040","0.071","0.095","0.143","8.207"
"MSET (10 keys)","20842.02","0.045","0.008","0.047","0.071","0.095","15.327"
"XADD","23568.23","0.039","0.008","0.039","0.071","0.095","9.879"
