"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21982.85","0.044","0.008","0.047","0.055","0.055","1.623"
"PING_MBULK","22036.14","0.044","0.016","0.047","0.055","0.055","1.311"
"SET","21772.26","0.044","0.016","0.047","0.055","0.055","1.351"
"GET","22197.56","0.044","0.016","0.047","0.047","0.055","0.319"
"INCR","21654.40","0.044","0.016","0.047","0.055","0.063","1.679"
"LPUSH","20850.71","0.045","0.016","0.047","0.055","0.063","0.575"
"RPUSH","21786.49","0.044","0.008","0.047","0.055","0.063","0.983"
"LPOP","21088.15","0.045","0.008","0.047","0.055","0.063","1.423"
"RPOP","21542.44","0.044","0.016","0.047","0.055","0.063","0.839"
"SADD","21862.70","0.044","0.008","0.047","0.055","0.063","1.575"
"HSET","22123.89","0.044","0.008","0.047","0.047","0.055","1.527"
"SPOP","21925.02","0.044","0.016","0.047","0.055","0.055","0.255"
"ZADD","21570.32","0.044","0.016","0.047","0.055","0.055","1.335"
"ZPOPMIN","21598.27","0.044","0.008","0.047","0.055","0.055","1.759"
"LPUSH (needed to benchmark LRANGE)","20601.56","0.046","0.016","0.047","0.055","0.063","1.151"
"LRANGE_100 (first 100 elements)","11657.73","0.051","0.024","0.055","0.055","0.063","0.471"
"LRANGE_300 (first 300 elements)","7177.21","0.061","0.032","0.063","0.071","0.079","1.151"
"LRANGE_500 (first 500 elements)","5221.93","0.069","0.040","0.071","0.079","0.111","3.143"
"LRANGE_600 (first 600 elements)","4743.61","0.071","0.008","0.071","0.087","0.095","1.631"
"MSET (10 keys)","20790.02","0.045","0.016","0.047","0.055","0.063","0.279"
"XADD","21372.09","0.045","0.016","0.047","0.055","0.063","3.287"
