"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21092.60","0.045","0.008","0.047","0.055","0.079","0.463"
"PING_MBULK","20682.52","0.046","0.008","0.047","0.063","0.087","2.287"
"SET","21249.47","0.044","0.008","0.047","0.063","0.087","3.511"
"GET","21190.93","0.044","0.008","0.047","0.063","0.111","5.183"
"INCR","34364.26","0.027","0.008","0.023","0.047","0.063","38.015"
"LPUSH","31595.58","0.029","0.008","0.023","0.055","0.079","5.047"
"RPUSH","18504.81","0.050","0.008","0.039","0.079","0.207","79.167"
"LPOP","22286.61","0.042","0.008","0.039","0.071","0.159","15.695"
"RPOP","24527.84","0.038","0.008","0.039","0.063","0.111","5.767"
"SADD","17593.24","0.053","0.008","0.039","0.111","0.311","27.743"
"HSET","23228.80","0.040","0.008","0.047","0.063","0.095","9.799"
"SPOP","23282.89","0.040","0.008","0.047","0.055","0.087","45.759"
"ZADD","21877.05","0.043","0.008","0.047","0.055","0.079","2.407"
"ZPOPMIN","21496.13","0.045","0.016","0.047","0.055","0.063","1.727"
"LPUSH (needed to benchmark LRANGE)","20358.30","0.046","0.016","0.047","0.055","0.071","1.999"
"LRANGE_100 (first 100 elements)","11247.33","0.053","0.016","0.055","0.063","0.087","1.831"
"LRANGE_300 (first 300 elements)","6862.48","0.061","0.032","0.063","0.071","0.103","3.255"
"LRANGE_500 (first 500 elements)","5075.88","0.069","0.040","0.071","0.087","0.119","8.455"
"LRANGE_600 (first 600 elements)","4755.34","0.072","0.000","0.071","0.087","0.111","3.287"
"MSET (10 keys)","20550.76","0.045","0.008","0.047","0.055","0.063","2.103"
"XADD","20889.91","0.045","0.016","0.047","0.055","0.063","1.351"
