"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","198019.80","0.260","0.080","0.239","0.383","0.455","1.383"
"PING_MBULK","220750.55","0.233","0.072","0.231","0.279","0.383","0.791"
"SET","196850.39","0.261","0.088","0.247","0.375","0.447","0.999"
"GET","214592.28","0.240","0.088","0.239","0.287","0.359","0.815"
"INCR","219780.22","0.234","0.072","0.231","0.287","0.399","0.847"
"LPUSH","197628.47","0.316","0.080","0.295","0.503","0.647","1.855"
"RPUSH","180180.17","0.290","0.056","0.255","0.423","0.575","2.623"
"LPOP","206611.58","0.294","0.064","0.271","0.463","0.639","1.263"
"RPOP","186567.16","0.277","0.088","0.255","0.391","0.487","2.039"
"SADD","223713.64","0.229","0.040","0.231","0.271","0.343","0.911"
"HSET","218818.39","0.236","0.072","0.231","0.287","0.407","0.847"
"SPOP","223713.64","0.229","0.064","0.223","0.271","0.415","0.767"
"ZADD","218818.39","0.238","0.080","0.231","0.319","0.479","0.887"
"ZPOPMIN","219298.25","0.235","0.064","0.231","0.311","0.423","0.799"
"LPUSH (needed to benchmark LRANGE)","185528.77","0.321","0.104","0.303","0.495","0.823","2.623"
"LRANGE_100 (first 100 elements)","36429.88","1.166","0.480","1.087","1.687","2.399","27.999"
"LRANGE_300 (first 300 elements)","14279.59","1.596","0.512","1.535","2.471","3.175","7.255"
"LRANGE_500 (first 500 elements)","7518.80","2.042","0.568","1.935","3.215","3.927","20.447"
"LRANGE_600 (first 600 elements)","6170.17","2.391","0.648","2.295","3.783","4.655","9.999"
"MSET (10 keys)","147058.83","0.348","0.072","0.327","0.487","0.583","0.887"
"XADD","197238.64","0.266","0.072","0.239","0.391","0.519","1.511"
