"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21687.27","0.044","0.016","0.047","0.055","0.055","1.103"
"PING_MBULK","22168.03","0.044","0.016","0.047","0.047","0.055","1.359"
"SET","21715.53","0.044","0.016","0.047","0.055","0.063","0.447"
"GET","21958.72","0.044","0.016","0.047","0.047","0.055","1.231"
"INCR","21848.37","0.044","0.008","0.047","0.055","0.063","3.991"
"LPUSH","20907.38","0.045","0.016","0.047","0.055","0.063","0.663"
"RPUSH","21519.26","0.045","0.016","0.047","0.055","0.063","0.303"
"LPOP","21088.15","0.045","0.016","0.047","0.055","0.063","1.559"
"RPOP","21901.01","0.044","0.008","0.047","0.055","0.063","1.015"
"SADD","21772.26","0.044","0.016","0.047","0.055","0.055","2.151"
"HSET","21805.50","0.044","0.016","0.047","0.055","0.055","0.263"
"SPOP","22050.72","0.044","0.008","0.047","0.055","0.055","1.607"
"ZADD","21593.61","0.044","0.008","0.047","0.055","0.079","7.031"
"ZPOPMIN","24727.99","0.038","0.008","0.047","0.055","0.079","5.231"
"LPUSH (needed to benchmark LRANGE)","21034.92","0.045","0.008","0.047","0.063","0.087","2.295"
"LRANGE_100 (first 100 elements)","11586.14","0.051","0.016","0.055","0.063","0.079","2.799"
"LRANGE_300 (first 300 elements)","6620.76","0.062","0.032","0.063","0.087","0.135","14.191"
"LRANGE_500 (first 500 elements)","4630.92","0.074","0.032","0.071","0.103","0.151","15.127"
"LRANGE_600 (first 600 elements)","4306.82","0.074","0.040","0.071","0.095","0.143","2.559"
"MSET (10 keys)","19493.18","0.048","0.008","0.047","0.063","0.095","1.535"
"XADD","19696.67","0.048","0.008","0.047","0.063","0.095","14.927"
