"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","21547.08","0.045","0.008","0.047","0.055","0.063","1.567"
"PING_MBULK","22021.58","0.044","0.008","0.047","0.055","0.063","0.983"
"SET","21459.23","0.044","0.008","0.047","0.055","0.071","4.015"
"GET","21748.59","0.044","0.008","0.047","0.055","0.063","1.007"
"INCR","22381.38","0.043","0.008","0.047","0.055","0.063","0.791"
"LPUSH","21052.63","0.045","0.016","0.047","0.055","0.063","1.359"
"RPUSH","21772.26","0.044","0.016","0.047","0.055","0.055","0.279"
"LPOP","20567.67","0.046","0.008","0.047","0.055","0.063","0.359"
"RPOP","21413.28","0.045","0.016","0.047","0.055","0.063","0.399"
"SADD","21877.05","0.044","0.008","0.047","0.055","0.055","1.279"
"HSET","21593.61","0.045","0.008","0.047","0.055","0.055","0.279"
"SPOP","21963.54","0.044","0.008","0.047","0.055","0.063","1.359"
"ZADD","21649.71","0.044","0.008","0.047","0.055","0.055","2.471"
"ZPOPMIN","22192.63","0.044","0.016","0.047","0.055","0.063","1.951"
"LPUSH (needed to benchmark LRANGE)","21026.07","0.045","0.016","0.047","0.055","0.063","0.511"
"LRANGE_100 (first 100 elements)","11665.89","0.051","0.024","0.055","0.063","0.071","1.119"
"LRANGE_300 (first 300 elements)","7244.80","0.059","0.032","0.063","0.071","0.079","1.191"
"LRANGE_500 (first 500 elements)","5359.92","0.065","0.032","0.071","0.079","0.095","1.463"
"LRANGE_600 (first 600 elements)","4761.68","0.070","0.040","0.071","0.079","0.087","1.287"
"MSET (10 keys)","20567.67","0.045","0.016","0.047","0.055","0.063","1.391"
"XADD","21132.71","0.045","0.016","0.047","0.055","0.063","0.271"
